Node_ID,Branch_Length,Taxa_Count,Taxa,Clade_Summary,Verdict,Supporting_References
0,,24,"Bos_taurus, Camelus_bactrianus, Canis_lupus, Cavia_porcellus, Equus_caballus, Erinaceus_europaeus, Gallus_gallus, Hippopotamus_amphibius, Homo_sapiens, Loxodonta_africana, Manis_javanica, Myotis_myotis, Ochotona_princeps, Ornithorhynchus_anatinus, Oryctolagus_cuniculus, Rana_temporaria, Rattus_norvegicus, Rhinolophus_ferrumequinum, Suncus_etruscus, Sus_scrofa, Tachyglossus_aculeatus, Trichechus_manatus, Tursiops_truncatus, Vombatus_ursinus",Hippopotamidae + Cetacea grouping,Potentially incorrect/artifactual: Sus (pig) unusually close to Hippopotamus+Cetacea in many consensus phylogenies.,"McGowen, M. R. et al. (2020). Phylogenomic Resolution of the Cetacean Tree of Life. Systematic Biology.; Nikaido, M. et al. (1999). Hippopotamuses are the closest extant relatives of whales. Nature."
1,351.68654,1,Rana_temporaria,Mixed/other clade,Ambiguous,"McGowen, M. R. et al. (2020). Phylogenomic Resolution of the Cetacean Tree of Life. Systematic Biology."
2,32.73654,23,"Bos_taurus, Camelus_bactrianus, Canis_lupus, Cavia_porcellus, Equus_caballus, Erinaceus_europaeus, Gallus_gallus, Hippopotamus_amphibius, Homo_sapiens, Loxodonta_africana, Manis_javanica, Myotis_myotis, Ochotona_princeps, Ornithorhynchus_anatinus, Oryctolagus_cuniculus, Rattus_norvegicus, Rhinolophus_ferrumequinum, Suncus_etruscus, Sus_scrofa, Tachyglossus_aculeatus, Trichechus_manatus, Tursiops_truncatus, Vombatus_ursinus",Hippopotamidae + Cetacea grouping,Potentially incorrect/artifactual: Sus (pig) unusually close to Hippopotamus+Cetacea in many consensus phylogenies.,"McGowen, M. R. et al. (2020). Phylogenomic Resolution of the Cetacean Tree of Life. Systematic Biology.; Nikaido, M. et al. (1999). Hippopotamuses are the closest extant relatives of whales. Nature."
3,138.8839,22,"Bos_taurus, Camelus_bactrianus, Canis_lupus, Cavia_porcellus, Equus_caballus, Erinaceus_europaeus, Hippopotamus_amphibius, Homo_sapiens, Loxodonta_africana, Manis_javanica, Myotis_myotis, Ochotona_princeps, Ornithorhynchus_anatinus, Oryctolagus_cuniculus, Rattus_norvegicus, Rhinolophus_ferrumequinum, Suncus_etruscus, Sus_scrofa, Tachyglossus_aculeatus, Trichechus_manatus, Tursiops_truncatus, Vombatus_ursinus",Hippopotamidae + Cetacea grouping,Potentially incorrect/artifactual: Sus (pig) unusually close to Hippopotamus+Cetacea in many consensus phylogenies.,"McGowen, M. R. et al. (2020). Phylogenomic Resolution of the Cetacean Tree of Life. Systematic Biology.; Nikaido, M. et al. (1999). Hippopotamuses are the closest extant relatives of whales. Nature."
4,20.0661,20,"Bos_taurus, Camelus_bactrianus, Canis_lupus, Cavia_porcellus, Equus_caballus, Erinaceus_europaeus, Hippopotamus_amphibius, Homo_sapiens, Loxodonta_africana, Manis_javanica, Myotis_myotis, Ochotona_princeps, Oryctolagus_cuniculus, Rattus_norvegicus, Rhinolophus_ferrumequinum, Suncus_etruscus, Sus_scrofa, Trichechus_manatus, Tursiops_truncatus, Vombatus_ursinus",Hippopotamidae + Cetacea grouping,Potentially incorrect/artifactual: Sus (pig) unusually close to Hippopotamus+Cetacea in many consensus phylogenies.,"McGowen, M. R. et al. (2020). Phylogenomic Resolution of the Cetacean Tree of Life. Systematic Biology.; Nikaido, M. et al. (1999). Hippopotamuses are the closest extant relatives of whales. Nature."
5,160.0,1,Vombatus_ursinus,Mixed/other clade,Ambiguous,"McGowen, M. R. et al. (2020). Phylogenomic Resolution of the Cetacean Tree of Life. Systematic Biology."
6,60.8113,19,"Bos_taurus, Camelus_bactrianus, Canis_lupus, Cavia_porcellus, Equus_caballus, Erinaceus_europaeus, Hippopotamus_amphibius, Homo_sapiens, Loxodonta_africana, Manis_javanica, Myotis_myotis, Ochotona_princeps, Oryctolagus_cuniculus, Rattus_norvegicus, Rhinolophus_ferrumequinum, Suncus_etruscus, Sus_scrofa, Trichechus_manatus, Tursiops_truncatus",Hippopotamidae + Cetacea grouping,Potentially incorrect/artifactual: Sus (pig) unusually close to Hippopotamus+Cetacea in many consensus phylogenies.,"McGowen, M. R. et al. (2020). Phylogenomic Resolution of the Cetacean Tree of Life. Systematic Biology.; Nikaido, M. et al. (1999). Hippopotamuses are the closest extant relatives of whales. Nature."
7,5.1887,17,"Bos_taurus, Camelus_bactrianus, Canis_lupus, Cavia_porcellus, Equus_caballus, Erinaceus_europaeus, Hippopotamus_amphibius, Homo_sapiens, Manis_javanica, Myotis_myotis, Ochotona_princeps, Oryctolagus_cuniculus, Rattus_norvegicus, Rhinolophus_ferrumequinum, Suncus_etruscus, Sus_scrofa, Tursiops_truncatus",Hippopotamidae + Cetacea grouping,Potentially incorrect/artifactual: Sus (pig) unusually close to Hippopotamus+Cetacea in many consensus phylogenies.,"McGowen, M. R. et al. (2020). Phylogenomic Resolution of the Cetacean Tree of Life. Systematic Biology.; Nikaido, M. et al. (1999). Hippopotamuses are the closest extant relatives of whales. Nature."
8,7.70392,12,"Bos_taurus, Camelus_bactrianus, Canis_lupus, Equus_caballus, Erinaceus_europaeus, Hippopotamus_amphibius, Manis_javanica, Myotis_myotis, Rhinolophus_ferrumequinum, Suncus_etruscus, Sus_scrofa, Tursiops_truncatus",Hippopotamidae + Cetacea grouping,Potentially incorrect/artifactual: Sus (pig) unusually close to Hippopotamus+Cetacea in many consensus phylogenies.,"McGowen, M. R. et al. (2020). Phylogenomic Resolution of the Cetacean Tree of Life. Systematic Biology.; Nikaido, M. et al. (1999). Hippopotamuses are the closest extant relatives of whales. Nature."
9,20.09608,2,"Erinaceus_europaeus, Suncus_etruscus",Mixed/other clade,Ambiguous,"McGowen, M. R. et al. (2020). Phylogenomic Resolution of the Cetacean Tree of Life. Systematic Biology."
10,66.2,1,Suncus_etruscus,Mixed/other clade,Ambiguous,"McGowen, M. R. et al. (2020). Phylogenomic Resolution of the Cetacean Tree of Life. Systematic Biology."
11,66.2,1,Erinaceus_europaeus,Mixed/other clade,Ambiguous,"McGowen, M. R. et al. (2020). Phylogenomic Resolution of the Cetacean Tree of Life. Systematic Biology."
12,5.27003,10,"Bos_taurus, Camelus_bactrianus, Canis_lupus, Equus_caballus, Hippopotamus_amphibius, Manis_javanica, Myotis_myotis, Rhinolophus_ferrumequinum, Sus_scrofa, Tursiops_truncatus",Hippopotamidae + Cetacea grouping,Potentially incorrect/artifactual: Sus (pig) unusually close to Hippopotamus+Cetacea in many consensus phylogenies.,"McGowen, M. R. et al. (2020). Phylogenomic Resolution of the Cetacean Tree of Life. Systematic Biology.; Nikaido, M. et al. (1999). Hippopotamuses are the closest extant relatives of whales. Nature."
13,5.02605,8,"Bos_taurus, Camelus_bactrianus, Canis_lupus, Equus_caballus, Hippopotamus_amphibius, Manis_javanica, Sus_scrofa, Tursiops_truncatus",Hippopotamidae + Cetacea grouping,Potentially incorrect/artifactual: Sus (pig) unusually close to Hippopotamus+Cetacea in many consensus phylogenies.,"McGowen, M. R. et al. (2020). Phylogenomic Resolution of the Cetacean Tree of Life. Systematic Biology.; Nikaido, M. et al. (1999). Hippopotamuses are the closest extant relatives of whales. Nature."
14,1.75,3,"Canis_lupus, Equus_caballus, Manis_javanica",Mixed/other clade,Ambiguous,"McGowen, M. R. et al. (2020). Phylogenomic Resolution of the Cetacean Tree of Life. Systematic Biology."
15,0.0,2,"Canis_lupus, Manis_javanica",Mixed/other clade,Ambiguous,"McGowen, M. R. et al. (2020). Phylogenomic Resolution of the Cetacean Tree of Life. Systematic Biology."
16,74.25,1,Manis_javanica,Mixed/other clade,Ambiguous,"McGowen, M. R. et al. (2020). Phylogenomic Resolution of the Cetacean Tree of Life. Systematic Biology."
17,74.3275,1,Canis_lupus,Mixed/other clade,Ambiguous,"McGowen, M. R. et al. (2020). Phylogenomic Resolution of the Cetacean Tree of Life. Systematic Biology."
18,74.25,1,Equus_caballus,Mixed/other clade,Ambiguous,"McGowen, M. R. et al. (2020). Phylogenomic Resolution of the Cetacean Tree of Life. Systematic Biology."
19,12.0,5,"Bos_taurus, Camelus_bactrianus, Hippopotamus_amphibius, Sus_scrofa, Tursiops_truncatus",Hippopotamidae + Cetacea grouping,Potentially incorrect/artifactual: Sus (pig) unusually close to Hippopotamus+Cetacea in many consensus phylogenies.,"McGowen, M. R. et al. (2020). Phylogenomic Resolution of the Cetacean Tree of Life. Systematic Biology.; Nikaido, M. et al. (1999). Hippopotamuses are the closest extant relatives of whales. Nature."
20,64.0,1,Camelus_bactrianus,Outgroup (Camelus_bactrianus),Outgroup used for rooting; acceptable choice.,"McGowen, M. R. et al. (2020). Phylogenomic Resolution of the Cetacean Tree of Life. Systematic Biology."
21,2.15735,4,"Bos_taurus, Hippopotamus_amphibius, Sus_scrofa, Tursiops_truncatus",Hippopotamidae + Cetacea grouping,Potentially incorrect/artifactual: Sus (pig) unusually close to Hippopotamus+Cetacea in many consensus phylogenies.,"McGowen, M. R. et al. (2020). Phylogenomic Resolution of the Cetacean Tree of Life. Systematic Biology.; Nikaido, M. et al. (1999). Hippopotamuses are the closest extant relatives of whales. Nature."
22,4.05455,3,"Bos_taurus, Hippopotamus_amphibius, Tursiops_truncatus",Hippopotamidae + Cetacea grouping,Supported: hippos are closest extant relatives to cetaceans.,"McGowen, M. R. et al. (2020). Phylogenomic Resolution of the Cetacean Tree of Life. Systematic Biology.; Nikaido, M. et al. (1999). Hippopotamuses are the closest extant relatives of whales. Nature."
23,4.7881,2,"Hippopotamus_amphibius, Tursiops_truncatus",Hippopotamidae + Cetacea grouping,Supported: hippos are closest extant relatives to cetaceans.,"McGowen, M. R. et al. (2020). Phylogenomic Resolution of the Cetacean Tree of Life. Systematic Biology.; Nikaido, M. et al. (1999). Hippopotamuses are the closest extant relatives of whales. Nature."
24,53.0,1,Tursiops_truncatus,Odontoceti (toothed whales),Supported: Odontoceti monophyly expected.,"Hamilton, H. et al. (2001). River dolphin relationships and the evolution of freshwater cetaceans. Proceedings of the Royal Society B.; McGowen, M. R. et al. (2020). Phylogenomic Resolution of the Cetacean Tree of Life. Systematic Biology."
25,53.0,1,Hippopotamus_amphibius,Mixed/other clade,Ambiguous,"McGowen, M. R. et al. (2020). Phylogenomic Resolution of the Cetacean Tree of Life. Systematic Biology."
26,57.7881,1,Bos_taurus,Mixed/other clade,Ambiguous,"McGowen, M. R. et al. (2020). Phylogenomic Resolution of the Cetacean Tree of Life. Systematic Biology."
27,61.84265,1,Sus_scrofa,Mixed/other clade,Ambiguous,"McGowen, M. R. et al. (2020). Phylogenomic Resolution of the Cetacean Tree of Life. Systematic Biology."
28,19.02605,2,"Myotis_myotis, Rhinolophus_ferrumequinum",Mixed/other clade,Ambiguous,"McGowen, M. R. et al. (2020). Phylogenomic Resolution of the Cetacean Tree of Life. Systematic Biology."
29,62.0,1,Rhinolophus_ferrumequinum,Mixed/other clade,Ambiguous,"McGowen, M. R. et al. (2020). Phylogenomic Resolution of the Cetacean Tree of Life. Systematic Biology."
30,62.0,1,Myotis_myotis,Mixed/other clade,Ambiguous,"McGowen, M. R. et al. (2020). Phylogenomic Resolution of the Cetacean Tree of Life. Systematic Biology."
31,6.8,5,"Cavia_porcellus, Homo_sapiens, Ochotona_princeps, Oryctolagus_cuniculus, Rattus_norvegicus",Mixed/other clade,Ambiguous,"McGowen, M. R. et al. (2020). Phylogenomic Resolution of the Cetacean Tree of Life. Systematic Biology."
32,8.22939,4,"Cavia_porcellus, Ochotona_princeps, Oryctolagus_cuniculus, Rattus_norvegicus",Mixed/other clade,Ambiguous,"McGowen, M. R. et al. (2020). Phylogenomic Resolution of the Cetacean Tree of Life. Systematic Biology."
33,28.23057,2,"Ochotona_princeps, Oryctolagus_cuniculus",Mixed/other clade,Ambiguous,"McGowen, M. R. et al. (2020). Phylogenomic Resolution of the Cetacean Tree of Life. Systematic Biology."
34,50.74004,1,Oryctolagus_cuniculus,Mixed/other clade,Ambiguous,"McGowen, M. R. et al. (2020). Phylogenomic Resolution of the Cetacean Tree of Life. Systematic Biology."
35,50.74004,1,Ochotona_princeps,Mixed/other clade,Ambiguous,"McGowen, M. R. et al. (2020). Phylogenomic Resolution of the Cetacean Tree of Life. Systematic Biology."
36,9.05936,2,"Cavia_porcellus, Rattus_norvegicus",Mixed/other clade,Ambiguous,"McGowen, M. R. et al. (2020). Phylogenomic Resolution of the Cetacean Tree of Life. Systematic Biology."
37,69.91125,1,Rattus_norvegicus,Mixed/other clade,Ambiguous,"McGowen, M. R. et al. (2020). Phylogenomic Resolution of the Cetacean Tree of Life. Systematic Biology."
38,69.91125,1,Cavia_porcellus,Mixed/other clade,Ambiguous,"McGowen, M. R. et al. (2020). Phylogenomic Resolution of the Cetacean Tree of Life. Systematic Biology."
39,87.2,1,Homo_sapiens,Mixed/other clade,Ambiguous,"McGowen, M. R. et al. (2020). Phylogenomic Resolution of the Cetacean Tree of Life. Systematic Biology."
40,38.4137,2,"Loxodonta_africana, Trichechus_manatus",Mixed/other clade,Ambiguous,"McGowen, M. R. et al. (2020). Phylogenomic Resolution of the Cetacean Tree of Life. Systematic Biology."
41,60.775,1,Trichechus_manatus,Mixed/other clade,Ambiguous,"McGowen, M. R. et al. (2020). Phylogenomic Resolution of the Cetacean Tree of Life. Systematic Biology."
42,60.775,1,Loxodonta_africana,Mixed/other clade,Ambiguous,"McGowen, M. R. et al. (2020). Phylogenomic Resolution of the Cetacean Tree of Life. Systematic Biology."
43,133.3377,2,"Ornithorhynchus_anatinus, Tachyglossus_aculeatus",Mixed/other clade,Ambiguous,"McGowen, M. R. et al. (2020). Phylogenomic Resolution of the Cetacean Tree of Life. Systematic Biology."
44,46.7284,1,Tachyglossus_aculeatus,Mixed/other clade,Ambiguous,"McGowen, M. R. et al. (2020). Phylogenomic Resolution of the Cetacean Tree of Life. Systematic Biology."
45,46.7284,1,Ornithorhynchus_anatinus,Mixed/other clade,Ambiguous,"McGowen, M. R. et al. (2020). Phylogenomic Resolution of the Cetacean Tree of Life. Systematic Biology."
46,318.95,1,Gallus_gallus,Mixed/other clade,Ambiguous,"McGowen, M. R. et al. (2020). Phylogenomic Resolution of the Cetacean Tree of Life. Systematic Biology."
